#"lineage"	"l.bo"	"l.ch"	"l.gn"	"l.ps"	"w.ps"	"l.sc"	"a.sc"	"n.da"	"n.va"	"l.c2"	"l.d"	"l.e"	"l.f"	"l.ge"	"w.ge"	"l.3a"	"a.3a"	"n.ri"	"a.1b"	"a.1a"	"a.2a"	"l.tb1"	"l.ts1"	"l.s1"	"l.e1"	"n.e1"	"l.tb2"	"l.ts2"	"l.s2"	"l.e2"	"n.e2"	"l.l1"	"l.l2"	"l.ft.1"	"l.ft.1.1"	"l.ft.2"	"l.ft.2.1"	"l.l."
"MT-2"	271	21	23	38	41	55	28	69	68	37	50	39	31	15	20	24	16	12	11	7	23	8	8	8	9	8	7	8	8	9	7	33	12	19	23	11	26	11
"MT-2"	265	21	24	35	38	54	24	69	65	38	45	44	31	13	23	25	18	9	10	8	22	9	8	8	9	7	8	9	8	10	7	31	11	17	24	9	27	10
"MT-2"	220	18	22	37	41	58	26	64	61	36	45	32	30	13	23	23	17	11	12	8	25	8	8	9	10	7	7	8	10	11	7	27	13	16	26	11	22	9
"MT-2"	218	20	23	36	38	52	23	64	69	34	61	56	27	15	23	28	18	11	12	9	24	8	8	10	10	7	7	8	11	10	7	28	14	16	22	8	28	10
"MT-2"	256	20	24	39	42	54	26	65	63	40	50	30	29	13	22	20	18	10	10	8	23	9	9	10	10	7	7	8	11	11	7	27	11	16	22	10	27	12
"MT-2"	240	20	24	39	41	52	25	66	62	38	61	31	26	14	21	21	16	11	12	9	25	9	9	9	10	8	8	9	10	11	7	31	12	18	24	10	24	11
"MT-2"	250	21	23	38	40	52	25	71	69	36	58	41	24	15	21	26	15	13	9	7	22	9	8	9	9	8	8	8	9	9	7	30	12	19	25	10	24	12
"MT-2"	232	21	21	36	39	67	24	59	60	32	59	45	31	15	23	20	15	12	10	8	24	8	7	8	9	7	7	8	8	9	7	33	13	17	26	11	23	10
"MT-2"	170	17	21	35	37	59	22	64	62	40	58	42	27	16	23	25	17	12	9	7	21	9	8	9	10	7	7	8	10	10	7	31	14	16	26	10	26	9
"MT-2"	200	19	23	40	42	53	24	66	69	41	46	54	25	14	20	20	18	13	11	8	22	7	7	9	10	7	6	7	10	11	7	30	12	16	25	9	24	9
"MT-2"	185	18	24	35	38	63	21	72	69	39	59	53	29	15	23	20	16	12	11	7	22	8	9	10	9	7	6	8	10	9	7	29	11	21	23	9	25	10
"MT-2"	222	18	25	37	40	59	24	67	64	37	49	44	28	14	23	22	16	9	11	8	23	9	8	9	9	7	8	8	9	10	7	28	12	20	24	11	26	11
"MT-2"	258	19	24	36	36	53	22	67	61	42	61	43	29	15	22	18	17	12	12	8	24	8	8	9	10	8	7	8	10	11	7	29	13	18	23	11	27	11
"MT-2"	219	17	23	38	40	49	25	67	66	35	56	40	24	13	23	18	17	12	9	7	21	8	8	8	9	7	8	9	8	9	7	30	12	17	25	8	22	11
"MT-2"	271	20	25	37	40	56	25	62	61	38	42	37	30	13	22	26	17	10	10	8	24	8	8	10	10	8	7	8	11	10	7	29	11	18	26	10	26	12
"MT-2"	224	19	23	35	38	59	24	62	59	40	61	31	26	14	22	20	16	13	10	8	22	7	7	10	10	7	6	7	10	11	7	30	13	20	23	11	26	11
"MT-2"	252	18	24	37	41	57	24	64	59	41	60	40	29	15	22	17	17	9	10	8	23	9	8	9	10	8	8	8	10	10	7	31	14	17	23	8	23	12
"MT-2"	242	18	22	38	43	59	25	73	68	37	57	39	27	16	22	23	16	12	11	8	24	8	8	10	10	7	7	8	11	10	7	32	14	16	24	9	24	12
"MT-2"	225	21	23	38	44	58	24	64	61	36	61	39	25	16	23	22	16	12	9	8	21	8	8	9	9	7	6	7	9	9	7	31	12	16	26	10	25	12
"MT-2"	230	20	23	37	40	60	26	66	63	41	52	40	29	14	21	20	16	11	12	9	26	8	8	10	9	7	8	9	10	10	7	28	12	17	25	10	23	10
"MT-2"	266	21	25	38	41	55	25	69	66	35	45	41	30	15	21	24	16	12	12	9	25	8	7	10	10	7	7	7	11	10	7	27	12	19	24	9	23	9
